Name,Country,Email
Comitato per i Diritti Civili delle Prostitute ONLUS (Committee for the Civil Rights of Prostitutes) (CDCP ONLUS),Italy,  
Comite Anti-Drogue (CAD),,  
Comité Central de Palmicultores de Ucayali,Peru,  
Comité contre l'Esclavage Moderne (CCEM),France,  
Comité International d'Ethique et de Solidarité section TOGO,Togo,  
Comité National d'Entraide de la Jeunesse et de l'Enfance (CNEJE),Algeria,  
Comité National de Lutte contre les Drogues,Djibouti,  
Comite Regional de Servicios de Narcoticos Anonimos,Mexico,  
Commission for the Defense of Human Rights in Central America (CODEHUCA),Costa Rica,  
Commissioner for Victims Rights,Australia,  
Committee for Democracy and Rights of the People (CDRP),Nigeria,  
Committee for the Support of the Dignity of Women (COSUDOW),Nigeria,www.cosudow@infoweb.abs.net
Committee on Substance Abuse,Hong Kong SAR of China,  
Commonwealth Human Ecology Council (CHEC),United Kingdom,  
Commonwealth Human Rights Association,India,prostectorsofhumanrights@gmail.com
Commonwealth Human Rights Initiative (CHRI),India,  
Commonwealth Medical Association (CMA),United Kingdom,  
Commonwealth Secretariat,United Kingdom,  
Communications Coordination Committee for the United Nations (CCC/UN),,  
Communities Against Drug and Substance Abuse (CADASA),Zimbabwe,  
Community Action Against Drug Abuse (CAADA),Nigeria,  
Community Active in Development Association (CADA),Tanzania (United Republic of),  
Community Agency on Drugs and Addiction (CADA),British Virgin Islands,  
Community Aid,Maldives,  
Community Anti-Drug Coalitions of America (CADCA),United States of America,  
Community Appraisal & Motivation Programme (CAMP),Pakistan,  
Community Centre for Destitutes,Malaysia,  
Community Development Association (CDA),Myanmar (use new code MYA),  
Community Development Network Forum,Pakistan,  
Community Development Society for Thought and Culture (CDSTC),Palestine,  
Community Drug Advisory Council,Hong Kong SAR of China,  
Community Front for Prevention of AIDS,Sri Lanka,  
Community Health Action Network - The Salvation Army (CHAN),India,  
Community Health and Social Services,Kenya,  
Community Health Awareness Programme (CHAP),Kenya,  
Community Health Awareness Puppeteers (CHAPS),Kenya,  
Community of PLHIV,Uzbekistan,  
Community Restoration Initiative Project (C.R.I.P),Uganda,  
Community Service Office University of Jordan,Jordan,  
Community Support for the Needy (COSUN),Zambia,  
Comunidade Terapeutica Ancoradouro,Brazil,  
Comunita Incontro - Italy,Italy,  
"Comunità Terapeutica ""Villa Renata""",Italy,  
CONASIDA,Mexico,  
Concern for Development Initiatives in Africa (ForDIA),,  
concerned about universal social empowerment (CAUSE),India,  
Concile Mondial de Congres Diplomatiques des Aumoniers (CMOCDAPUNDHJ),France,  
Concordia,Austria,  
Conectas Direitos Humanos (CDH),Brazil,  
Confederation of European Security Services (CoESS),Belgium,  
Conference of Non-Governmental Organizations in Consultative Relationship with the United Nations (CONGO),Switzerland,congovie@ngocongo.org
Confidence-A Total Human Development Programme,Bangladesh,  
Congregacion de Religiosos Terciarios Capuchinos (TTCC),Ecuador,  
Congregation of Our Lady of Charity of the Good Shepherd,United States of America,ferewl@yahoo.com
Congress 60,Iran (Islamic Republic of),  
Connect Institute of Systemic Therapy,Zimbabwe,  
"Consciência, Liberdade, Atitude e Movimento (CLAM)",Brazil,  
Consejo Nacional para Prevenir la Discriminacion (CONAPRED),Panama,  
Consejo para el Desarrollo Comunitario,Mexico,  
Consortium Laos,Lao Peop. Dem. Rep.,  
Consortium of Indonesian Migrant Workers Advocacy (KOPBUMI),Indonesia,  
Construisons Ensemble le Monde,Congo,  
Consultores y Asesores para el Desarrollo (CADES),Peru,  
Contact Base,India,  
Contraloría Ciudadana para la Rendición de Cuentas,Mexico,  
Convenant house,United States of America,  
Convictus Eesti,Estonia,  
Cooperation for children's future,Belarus,  
Cooperativa de Viviendra Rural,Ecuador,  
Cooperativa-di Studio e Ricerca Sociale Marcella,Italy,  
Coordinamento nazionale comunità di Accoglienza (CNCA),Italy,  
Coordination des Associations de Lutte contre la Toxicomanie (CASILUT),Côte d'Ivoire,  
Coordination of Humanitarian Assistance (CHA),Afghanistan,  
Coordination – Solidarité Urgence Développement (SUD),France,  
Corner House,United Kingdom,  
Cornerstone,Malaysia,  
Corp. Colombiana para la Prevención del Alcoholismo y la Farmadependencia (SURGIR),Colombia,  
Corporación Ancón,Colombia,  
Corporación Ancora,Chile,  
Corporacion Caminos,Colombia,  
Corporación Colectivo de Comunicaciones Montes de Mari­a Linea 21,Colombia,  
Corporación Colombiana de Teatro / Club Juvenil Golpe Directo,Colombia,  
Corporacion Con Animo (CONANIMO),Colombia,  
Corporación de Dessarrollo Grada,Chile,  
Corporación de Padres y Madres Red PaPaz,Colombia,  
"Corporación Educativa, Recreativa, Ecológica y Cultural (BARRIOCOMPARSA)",Colombia,  
Corporación Encuentro,Colombia,  
Corporación Espacios De Mujer,Colombia,  
Corporación Hogares Crea de Colombia,Colombia,  
Corporación Jovenes por la Vida,Colombia,  
Corporación Ocasa,Colombia,  
Corporación para la Investigación de la Comunicación Social (CICS),Colombia,  
Corporación Programa Caleta Sur,Chile,  
Corporacion Prosperar de Colombia,Colombia,  
Corporation of Development (CORDILLERA),Chile,  
Corrections India,India,  
Council for Development of Economic and Social Research in Africa (CODESRIA),Senegal,  
Council for Social Development,India,  
Council for the Advancement of the South African Constitution (CASAC),South Africa,  
Council of Churches,Swaziland,  
Council of Geopolitics Foundation,Hungary,  
Council of Palestinian Human Rights Organizations,Israel,  
Counseling Center for Women and Girls,Albania,  
Counterpart Creative Center Charity Foundation (CCC),Ukraine,  
"Courage to Speak Foundation, Inc.",,  
COVAC,Mexico,  
Covenant House International,United States of America,  
Crac Anti Drug Group,Mauritius,  
Cranstoun Drug Services,United Kingdom,  
Creating Real Opportunities for People (CROP),,  
Creating Resources for Empowerment in Action (CREA),India,  
Creation of creative Society,Nepal,  
Creative Actors Initiative for Development (CRAID),Nigeria,  
Creative Resources Centre for Sustainable Development (CRESUD),Kenya,  
Creativity for Citizens Association,Slovakia,  
Credo (the belief),Kazakhstan,  
Crescent Medical Aid Kenya,Kenya,  
Crime Concern,United Kingdom,  
Crime Free & Peace Initiative,Nigeria,  
Crime Stoppers International (CSI),Canada,  
Criminals’ Return Into Society (RIKS KRIS),Sweden,max.demchenko@gmail.com
Criminologists Society of Jammu and Kashmir,India,  
Criminologists without Borders (CWBO),United States of America,  
Criminon International,United States of America,  
Crisis Center for Women (CCW),Russian Federation,  
Crisis Intervention and Skills Training Centre,Lesotho,  
Crisis-Centre Secretariat,Norway,  
Cross Border Anti Trafficking Network (CBATN),India,  
Cross Culture International Foundation (CCIF),Malta,  
Cross Over Project (COP),South Africa,  
Cultural Medicine Tree,,  
Cultural Society of Iraqi Youth,,  
Culture and Education Activating Organization (CEAO),Iraq,  
CURE Foundation,Bosnia and Herzegovina,  
CUSO,Canada,  
Da Haq Awaz,Pakistan,  
Da Lalame Wadani Association,Pakistan,  
DACAAR,Afghanistan,  
Dads Against Drugs (DADs),United Kingdom,  
DAI,United States of America,info@dai.ps
Damnok Toek Poipet,Cambodia,  
Dare International,United States of America,  
"Daytop International, Inc.",United States of America,  
Daytop Prevention and Recovery Center for Drug Denpendency,China,  
DCBA Law,United States of America,  
De Hoop Foundation,Netherlands,  
DE SLEUTEL,Belgium,  
Defence for Children International (DCI),Switzerland,  
Delanta Redeem (DR),Ethiopia,  
"Democracy, Free Elections, Anticorruption-US Freedom Foundation",United States of America,  
Desafio Jovem - Centre of Rehabilitation for Drug Users,Guinea-Bissau,  
Detroit Rescue Mission Ministries (DRMM),United States of America,  
Deutiche Gesellschaft fur Technische Zusammenarbiet (GZT),Germany,  
Deutsche Hauptstelle für Suchtfragen e. V. German Centre for Addiction Issues (DHS),Germany,  
Development & Integrity Intervention Goal Foundation (DIG),Nigeria,  
Development Aid from People to People,Zambia,  
Development Alternatives Network (DAN),Kenya,  
Development and Peace Foundation,Germany,  
Development Dynamics,Nigeria,  
Development of Society and Civil Relations,Azerbaijan,  
Development Partnership International (DPI),Nigeria,  
Devotion rehab Center,Pakistan,  
Dhaka Ahsania Mission (DAM),Bangladesh,  
Dhanmondi Anti-Drug Youth Center,Bangladesh,  
Dharma Bharati National Institute of Value Education for Peace,India,  
Dharmavijaya Foundation,Sri Lanka,  
Dianova International,Spain,switzerland@dianova.org
Diaron Foundation,Kyrgyzstan,  
Dibya Jyoti Association Nepal (DIJAN),Nepal,  
Different & Equal,Albania,  
Digital Stars,Dominica,  
Dil Bilgi Foundation,Kyrgyzstan,  
DINA,Tajikistan,  
Diplomatic Society of St. Gabriel,United States of America,domingo23@yahoo.com
Disciple House,Malaysia,  
District Drug Prevention Committee (APE KEDELLA),Sri Lanka,  
DITSHWANELO - The Botswana Centre for Human Rights,South Africa,  
DIVERT,Ireland,  
Dochas,Ireland,  
Doctors Against Drugs,Kazakhstan,  
DOMINICANS for Justice and Peace (Order of Preachers),Switzerland,  
Don Bosco International,Belgium,  
Donetsk Regional League of Business and Professional Women (DRLBPW),Ukraine,  
Dost Welfare Foundation,Pakistan,  
Double Positive Foundation,Suriname,  
DOVERBA (TRUST),The form. Yug.  Rep. of Macedonia,  
Dr. I. Goomany Centre for Prevention & Treatment of Alcoholism & Drug Addiction,Mauritius,  
Drive for United Victory over Addiction (DUVA),India,  
"Drogadictos Anónimos, A.C.",Mexico,  
Droits Humains Sans Frontières (DHSF),Congo,  
Drop-in Foundation,Czech Republic,  
Drug Abuse and Narcotic Surveillance Centre,Nigeria,  
Drug Abuse Education Programme,Kenya,  
"Drug Abuse Forum, Cambodia (DAF)",Cambodia (new code CMB),  
Drug Abuse Information Prevention and Rehabilitation Centre (DAIPARC),India,  
Drug Abuse Information Rehabilitation and Research Centre,,  
Drug Abuse Prevention Association (DAPAN),Nepal,  
Drug Abuse Prevention Association of Brunei Darussalam (BASMIDA),Brunei Darussalam,  
Drug Abuse Prevention Center,Russian Federation,  
Drug Abuse Prevention Initiative (DRAPI),Uganda,  
"Drug Abuse Research Foundation, Inc. (DARF)",Philippines,  
Drug Abuse Resistance Education British Columbia Society (DARE BC),Canada,  
Drug Abuse Resistance Education Committee,Singapore,  
Drug Addiction Council,Sierra Leone,  
Drug Addicts Detoxification and Rehabilitation Society (DADRS),Pakistan,  
Drug and Alcohol Recovery and Education Network (DARE),Thailand,  
Drug Awareness Foundation Ghana (DAF),Ghana,  
Drug Awareness Group,Namibia,  
Drug Control Community (DCC),Iran (Islamic Republic of),  
Drug Control HQ (DCHQ),Iran (Islamic Republic of),  
Drug Demand Reduction Network (DRUDRE),Kenya,  
Drug Dependence Hospital,Indonesia,  
Drug Dependence Treatment Centre,India,  
Drug Detoxification and Health Society (DDHS),Pakistan,  
Drug Education & Counselling Services,Barbados,  
Drug Fight Malawi,Malawi,  
"Drug Free America Foundation, Inc (DFAF)",United States of America,  
Drug Free Association of Nigeria,Nigeria,  
Drug Free Australia (DFA),Australia,  
Drug Free Kazakhstan,Kazakhstan,  
Drug Free Nation,Pakistan,  
Drug Free Pakistan Foundation (DFPF),Pakistan,  
Drug Free Scotland,United Kingdom,  
Drug Law Reform Foundation,Australia,  
Drug Policy Action Group (DPAG),Ireland,  
Drug Policy Alliance,United States of America,  
Drug Prevention in Schools Programme Foundation (DPSP),Bulgaria,  
Drug Prevention Network of Canada (DPNC),Canada,  
Drug Prevention Network of the Americas (DPNA),United States of America,  
Drug Stop Budapest Association,Hungary,  
"Drug Watch International, Inc.",United States of America,  
Drugs Peace Institute,Netherlands,  
DrugScope,United Kingdom,  
Duang Prateep Foundation (DPF),Thailand,  
Dubai Foundation For Women and Children (DFWAC),United Arab Emirates,  
Dvizhenie Movement,Kazakhstan,  
Earth Savers,Serbia,  
Earthjustice,United States of America,  
EarthRights International (ERI),United States of America,infoasia@earthrights.org
Eastern Africa Regional Youth Network (EARYN),Kenya,jones_churchhill@yahoo.com
Echekwu Damian Foundation (EDF),Nigeria,  
Ecoles sans Frontières (ESF),France,  
ECPAT International,Thailand,ecpatguatemala@intelnett.com
Ecumenical Commission for Human Development,Pakistan,  
Edelweiss Healthy Lifestyle Center,Uzbekistan,  
Eden Institute of Tourism Management,Romania,  
Edex Kolektiboa,Spain,  
Edo State NGO Coalition Against Trafficking in Persons (ENCATIP),Nigeria,  
Education and Action Program,,  
Education International (EI),Belgium,eiap@eduint.com.my
Educational and Training Center for poor Women and Girls of Afghanistan (ECW),Afghanistan,  
Educational Center Alcoholism and Drug Addiction,Republic of Moldova,  
Educational Centre for Families and Schools,Latvia,  
"Educational Centre for Population, Health and the Environment",Viet Nam,  
Educators Association for Human Rights (EAHR),Zimbabwe,  
Egyptian Association for Protecting Families from Addiction (PRIDE Egypt),Egypt,  
Egyptian Association for Societal Safety,Egypt,  
Egyptian Federation for Scouts and Girl Guides (EFSGG),Egypt,  
Egyptian Organization for Human Rights (EOHR),Egypt,  
Egyptian Trade Union Federation (ETUF),Egypt,  
Ejura Youth Organisation,Ghana,  
El Caracol,Mexico,  
Eleutheros Christian Society (ECS),India,  
Elim Clinic,South Africa,  
Elim Rehabilitation Centre,Malaysia,  
Elimu Ya Malezi Ya Ujana (EMAU),Tanzania (United Republic of),  
Elizka Relief Foundation (Elizka),Ghana,  
"Elks National Foundation, Drug Awareness Program (Elk)",United States of America,  
Elshaddai Ministries Trust,India,  
EMBHARM Foundation,United Kingdom,wabharmservices@ymail.com
Emmanuel Transit Centre,Zambia,  
Emmanuel World Children Foundation (EWFC),Nigeria,  
Emmaus International,France,  
Empower,India,  
Empower Foundation,Thailand,  
ENCARE,Uruguay,  
Enda Bolivia,Bolivia,  
Enda Mali,Mali,  
Enfants et Développement,France,cambodge@enfantsetdeveloppement.org
Enfants Solidaires d'Afrique et du Monde (ESAM),Benin,  
Ensemble contre la peine de mort (ECPM),France,  
Ensemble luttons contre le Sida,Congo,  
Environmental Control of Carbon Dioxide Corporation (ECCO2 CORP),United States of America,  
Environmental Defense Fund,United States of America,  
Environmental Development Action in the Third World (ENDA),Senegal,paragp@vsnl.com
Environmental Investigation Agency (EIA),United Kingdom,  
Environmental Law Alliance Worldwide Indonesia (ELAW),Indonesia,  
Environmental Law Centre (ELC),United Kingdom,  
Environmental Liaison Centre,Kenya,  
Equal Opportunities for Women Foundation / Sanse Egale pentru Femei (SEF),Romania,  
Equal to Equal,Kazakhstan,  
Equality Now,United States of America,  
Equatoria Rehabilitation and Development Association (ERADA),Sudan,  
Ereima Gender Empowerment and Resource Centre (EGERC),India,  
Ertegha Salamat Jame’e NGO (Society Health Promotion NGO),Iran (Islamic Republic of),  
Escuela de Estudio y Formación en Abordaje de Adicciones (EFAD),Chile,  
Eskaton Modern Health Care (EMHC),Bangladesh,  
Espace sans drogue - Association de lutte contre da drogue,Congo,  
Espacio Cultural Creativo,Bolivia,  
ESPOLEA,Mexico,  
Esquel Foundation / Fundación Esquel,Ecuador,  
Estonian Foundation for the Prevention of Drug Addiction,Estonia,  
Estonian Network of People Living With HIV (EHPV),Estonia,  
Estonian Women's Studies and Resource Center (ENUT),Estonia,  
ESVERO,Russian Federation,  
Ethics Institute of South Africa (EthicsSA),South Africa,  
Ethics Officers Association Ethiopia,Ethiopia,  
Etica y Transparencia (EYT),Nicaragua,  
"Etoile d’Espérance, Association Alcool Femmes",Mauritius,  
Eugene Dupuch Law School/Legal Aid Clinic,Bahamas,  
Eurasia Student Youth Society,Kazakhstan,  
Eurasian Harm Reduction Network (EHRN),Lithuania,  
Euro-Mediterranean Network for Youth Trafficking Prevention (EMNYTP),Greece,  
Euro-Mediterranean Partnership against Substance Abuse,Egypt,  
Euro-Methwork,Netherlands,  
Europe 2000,Belgium,  
Europe Against Drugs (EURAD),Ireland,  
Europe Teen Challenge Macedonia/Predizvik Za Mladi Na Makedonija (ETCM/PMM),The form. Yug.  Rep. of Macedonia,  
European Addiction Training Institute (EATI),Netherlands,  
European AIDS Treatment Group (EATG),Belgium,  
European Alliance on Drug Policy and Practice,Netherlands,  
European Association for the Defence of Human Rights (AEPADO),Romania,  
European Association of Proffesionals working in the Drug Field (Itaca Europe),Italy,  
European Auxiliary Police Association – Malta branch (EAPA),Malta,  
European Cities Against Drugs (ECAD),Sweden,  
European Cities on Drug Policy (ECDP),Germany,  
European Coalition for Just and Effective Drug Policies (ENCOD),Belgium,  
European Confederation of Police (EUROCOP),Luxembourg,  
European Federation of Therapeutic Community (EFTC),Belgium,  
European Forum for Urban Security (EFUS),France,contact@efus.eu
European Foundation of Drug Helplines (FESAT),Belgium,  
European Healthcare Fraud and Corruption Network (EHFCN),Belgium,  
"European Institute for Risk, Security and Communication Management (EURISC)",Romania,office@eurisc.org
European Institute of Studies of Prevention (IREFREA),Spain,irefrea@villarenata.org
European Network for Practical Approaches in Addiction Prevention,Switzerland,  
European Network of Drug and HIV/AIDS Services in Prison (ENDIPP),Germany,  
European Network of Policewomen,Netherlands,  
European Treatment Centers for Drug Addiction (euro-TC),Germany,  
European Union of Women,United Kingdom,  
European Women's Lobby (EWL),Germany,ewl@womenlobby.org
Evangelical Fellowship of Sierra Leone (EFSL),Sierra Leone,  
Evangelical Fellowship of Zambia (EFZ),Zambia,edcarolejm@yahoo.com
Exeter Drugs Project,United Kingdom,  
EXIT - Verein zur Bekämpfung von Menschenhandel aus Afrika,Austria,  
Eye of the Child,Malawi,  
Faisal Husseini Foundation,Palestine,  
FAITH Youth Charitable Centre Against Drugs (FAITH),Kazakhstan,  
"Faith, Hope, Love Movement",Ukraine,  
Fakel (Torch) Foundation,Kazakhstan,  
"Famaria, A.C.",Mexico,  
Family and Children Protection Society (FCPS),Jordan,  
"Family for Christ Ministry, Inc. (FFCMI)",Philippines,  
Family Health Organization Afghanistan (FHO Afghanistan),Afghanistan,Contact@thefho.org
Family Life Movement of Zambia,Zambia,  
Family Planning Association of Islamic Republic of Iran,Iran (Islamic Republic of),  
Family Research Council,United States of America,  
Fantsuam Foundation,Nigeria,  
Farmers Development Agency (FDA),India,  
Fashan Foundation for the Advancement of Self-Help in Attaining Needs (FASHAN),Maldives,  
Fatima Crisis Centre for Women and Children,Kazakhstan,  
Fayette Companies,United States of America,  
FCD Educationnal Services,United States of America,  
Federación Latinoamericana de Comunidades Terapéuticas (FLACT),Colombia,  
Federacions de Organizaciones No Gubernamentales de la Argentina (FONGA),Argentina,  
Fédération des Associations pour le Dévéloppement (FAD),Comoros,  
Federation of Drug Demand Reduction (FDDR),Nepal,  
Federation of Employers of Ukraine,Ukraine,  
Federation of Environmental and Ecological Diversity for Agricultural Revampment and Human Rights (FEEDAR & HR),Cameroon,feedarsecretariat@yahoo.com
Federation of European Professional Associations Working in the field of Drug Abuse (ERIT),United Kingdom,  
Federation of Indian NGOs for Drug Abuse Prevention (FINGODAP),India,  
Federation of Religious of Papua New Guinea and Solomon Islands,Papua New Guinea,  
Federation of Therapeutic Communities of Central and Eastern Europe (FTCCEE),Poland,  
Federazione Italiana Comunita Terapeutiche (FICT),Italy,  
Feed the Children,Malawi,  
Feminist League of Kokshetau,Kazakhstan,  
Femmes Unies pour la Paix dans la Region des Grands Lacs (FUP/GL),Burundi,  
FIDO Association (FIDO),Uzbekistan,  
Fight Against Child Exploitation (FACE),Thailand,  
Fight Against Trafficking In Person Association (FATIPA),Tanzania (United Republic of),  
Fiji Council of Social Services (FCOSS),Fiji,  
Finnish Centre for Health Promotion,Finland,  
FIZ Advocacy and Support for Migrant Women and Victims of Trafficking,Switzerland,  
Flying Broom Women Research and Communication Asssociation,Turkey,  
Focal Integrity Team- Cameroon (FITCAM),Cameroon,drc@igi-integrity.com
Focus on Labour Exploitation (FLEX),United Kingdom,  
Fondation des Oeuvres pour la Solidarité et le Bien Etre Social ((FOSBES ONG)),Congo,  
Fondazione Giovanni e Francesca Falcone,Italy,  
Fondazione Villa Maraini onlus (VM),Italy,  
Fontana,Denmark,info@ngofontana.org
Forearms of Change to Enable Community (FOCCEC),Jordan,  
Foro para el Desarrollo Sustentable,Mexico,  
Forum Against Drugs,India,  
Fórum das Organizações Não Governamentais Angolana (FONGA),Angola,  
Forum Droghe,Italy,  
Forum for Civil Society,Yemen,  
Forum for Human Rights and Public Health Nepal (Friendship Nepal),Nepal,  
Forum for South East Europe (FSOE),Serbia,  
Forum for Women and Development (FOKUS),Norway,  
Forum NGOs,Suriname,  
Forum on Street Children-Ethiopia (FSCE),Ethiopia,  
Forum pour la protection des deniers publics,Morocco,  
Forum Solidaridad Peru (FSP),Peru,  
FORUT - Campagne pour le développement la solidarité,Senegal,  
"Forward in Action for Education, Poverty and Malnutrition (FAcE-PaM)",Nigeria,  
Foto-Sofia,Nigeria,  
"Foundation ""Nadejda"" - Blagoevgrad",Bulgaria,  
"Foundation ""Vozvrashenie"" - St. Petersburg",Russian Federation,  
Foundation De Regenboog Group/Correlation Network,Netherlands,  
Foundation for a Drug Free Europe (FDFE),Belgium,fdfe.osterreich@gmail.com
Foundation for Alcohol and Drug Education (FADE),New Zealand,  
Foundation for Children,Thailand,  
Foundation for Culture and Civil Society (FCCS),Afghanistan,  
Foundation for Democratic Initiatives and Development (FDID-SL),Sierra Leone,fdidsl@blogspot.com
Foundation for Drug Information and Communication (FDIC),Philippines,  
Foundation for Ecological Security,,  
"Foundation for Health Education and Drug Awareness, Inc. (FHEDA)",Philippines,  
Foundation for Human Rights and Peace Education,Hungary,  
"Foundation for Prevention of Drug Addiction ""Marathon""",Poland,  
Foundation for Released Prisoners (FRP),Cameroon,  
Foundation For Subjective Experience and Research (SER),Germany,info@ser-foundation.ch
Foundation for the Better Life of Children,Thailand,  
Foundation for Women,Thailand,  
Foundation Heri,,  
Foundation Humanus / Humanus International,Cameroon,  
"Foundation of Educators and Youth ""PROM""",Poland,  
Fountain of Youth,South Africa,sayouthfountain@gmail.com
Fracarita International,Belgium,  
Framework Convention Alliance for Tabacco (FCA),Switzerland,fca@fctc.org
Franciscans International,United States of America,  
Frauenrecht ist Menschenrecht (FIM),Germany,  
Free Ambassador Women and Children Mission Tanzania,Tanzania (United Republic of),  
Free for Life Ministries,United States of America,  
Free from Drugs Association,Finland,  
Free State Network on Violence Against Women,South Africa,  
Free the Slaves (FTS),United States of America,  
Freedom Drugs and HIV Programme,Egypt,  
Freedom Foundation - India,India,  
"Freedom Foundation For Social, Educational and Health Reform (FF Nigeria)",Nigeria,  
Freedom Now,United States of America,  
"Freedom, Legality and Rights in Europe (FLARE)",Italy,  
Freeland Foundation (FF),Thailand,info@freelandindia.org
Friend Foundation,Kyrgyzstan,  
Friends International Street Children Network,Lao Peop. Dem. Rep.,  
Friends of Development and Investment Society (FDIS),Jordan,  
Friends of Life Anti-Drugs Society (FLADS),Palestine,  
Friends of Suffering Humanity,Ghana,  
"Friends of the Uth for Service, Empowerment and Development (FUSED)",United States of America,infusedsa@ymail.com
Friends World Committee for Consultation (FWCC),United Kingdom,  
"Friendship, Leadership, Actions, Motivation, Education, Success (FLAMES)",Lao Peop. Dem. Rep.,  
From Grief to Action: Association of Families and Friends of Drug Users,Canada,  
Fundação Athos Bulcção/ Athos Bulcção Foundation (FUNDATHOS/ FAB),Brazil,  
"Fundacao Portuguesa ""A Comunidade Contra a Sida""",Portugal,  
Fundacion Eudes,Mexico,Jacques@eudes.org.mx
Fundacion Ama la Vida,Mexico,  
Fundación Amiga (FA),Ecuador,  
Fundación Anar,Peru,  
Fundación Anpuy,Argentina,  
Fundación Anti Droga Aruba (FADA),Aruba,  
Fundacion arccoiris (Rainbow Foundation),Bolivia,  
Fundacion Arco Iris (FAI),Bolivia,  
Fundacion Atenea Grupo GID,Spain,  
Fundacion Azteca,Mexico,  
Fundación Cadavieco,Mexico,  
Fundacion Carisma-Hogar Crea Maria Auxiliadora,El Salvador,hogarcreapr@gmail.com
Fundacion CEDAI - Centro de Asistencia Integral (CEDAI),Paraguay,  
Fundación Centro de Educacion Popular,Uruguay,  
Fundación Chicos de la Calle,Ecuador,  
Fundación Ciudad Abierta,Colombia,  
Fundación Comunidad para el Deserrallo Humano,Ecuador,  
Fundacion Contra la Trata de Personas (FCTP),Colombia,  
Fundacion Convivir,Argentina,  
Fundacion cristo de la Calle,Ecuador,  
Fundación de Atencion Integral Juvenil (FUNDAINIL),Venezuela,  
Fundación de Ayuda contra la Drogadicción,Spain,  
Fundacíon de Estudios para la Aplicacíon del Derecho (FESPAD),El Salvador,  
Fundación de Waal,Ecuador,  
"Fundación DEMOS, IAP",Mexico,  
Fundación Derechos de Nino,Ecuador,  
Fundación Diagrama Intervención Psicosocial,Spain,  
Fundación en Cambio,Venezuela,  
Fundacion Esperanza,Colombia,  
Fundación Esperanza,Spain,  
Fundacion Familiar Pro Rehabilitacion De Farmacodependeitnes Faro (FARO),Colombia,  
Fundación Ginestra,Colombia,  
Fundación Hogares Claret,Venezuela,  
Fundación José Felix Ribas,Venezuela,  
Fundación La Guaca,Colombia,  
Fundacion Liberate,Colombia,  
Fundación Manantiales,Argentina,info@manantiales.org.es
Fundacion Mentor Colombia,Colombia,  
Fundación Mexicana Bartolomé de las Casas (FMBC),Mexico,  
"Fundación Mexicana de Reintegración Social Reintegra, A.C.",Mexico,  
Fundacion Mujeres en Igualdad (MEI),Argentina,  
Fundación Nacional para el Desarrollo (FUNDE),El Salvador,  
Fundación Nemi J.C (NEMI),Mexico,  
Fundacion Nuestros Jovenes,Ecuador,  
Fundación Padre Antonio Amador,Ecuador,  
Fundacion Paniamor,Costa Rica,  
"Fundación Para La Promoción Del Altruismo, IAP",Mexico,  
Fundación para la Promoción y Desarrollo de la Familia (PRODEFA),Bolivia,rosina.so@telefonica.net
Fundación Plataforma Unidos,Bolivia,  
Fundación Poder Ciudadano,Argentina,  
Fundacion Pride de Panama,Panama,  
Fundacion Procrear,Colombia,  
Fundación Proyecto Salesiano Chicos de la Calle (FPSCC),Ecuador,  
Fundación Remar de Guatemala,Guatemala,  
Fundacion Renacer,Colombia,  
Fundacion Salvadoreña Antidrogas (FUNDASALVA),El Salvador,  
Fundacion Save the Children,Spain,  
Fundación Semillas de Amor (FUNDSA),Ecuador,  
Fundación Sociedad Educadora de Sinaloa,Mexico,  
Fundación Venezuela Libre de Drogas,Venezuela,  
Fundación Viaje de Vuelta,Argentina,  
Fundación Zazil Be I.A.P,Mexico,  
Fundací­on País Libre,Colombia,  
Fundacja ITAKA- Centrum Poszukiwan Ludzi Zaginionych,Poland,  
Fundar Colombia,Colombia,  
"Fundar, Centro de Análisis e Investigación",Mexico,  
Futura Plus,Bosnia and Herzegovina,  
Gadawur Development Initiative (GDI),Nigeria,  
Gameiat El Tab El Nafsi,Egypt,  
Gammun centre for care and development Nigeria (GAMMUN),,  
Gap Intercessors Ministry International (GIMI),Nigeria,  
Gay & Lesbian Network,,  
Gender and Development Action (GADA),Nigeria,  
General Arab Women Federation,Iraq,  
General Federation of Jordanian Trade Unions (GFJTU),Jordan,  
Generatie Tanara (UngaLiv),Romania,  
Generosity International Lifecare Development Coalition,Uganda,  
Geneva Centre for Democratic Control of Armed Forces (DCAF),Switzerland,  
Georgian Young Lawyers Association (GYLA),Georgia,  
Gerakan Anti Trafficking (GAT),Indonesia,  
German Agro Action (Deutsche Welthungerhilfe ) (DWHH),Germany,  
German Institute on Radicalization and De-radicalization Studies (GIRDS),Germany,  
GESTU,Senegal,  
Ghana Anti-Corruption Coalition (GACC),Ghana,  
Ghana Blue Cross Society,Ghana,  
Ghana NGO Coalition on the Rights of the Child,Ghana,  
Ghana United Nations Students And Youth Association (GUNSA),Ghana,  
Ghazi Social Welfare Association (GSWA),Pakistan,  
Ghiras,Kuwait,  
Girls Learn International,United States of America,  
Girls Power Initiative (GPI),Nigeria,  
Global Addiction Network,United Kingdom,  
Global Aid and Development Foundation,Ghana,  
Global Aids Alliance,United States of America,  
Global Alliance Against Traffic in Women (GAATW),Thailand,  
Global Civil Initiatives (GCI),Kyrgyzstan,youthazamat@gmail.com
Global Commission on Drug Policy (GCDP),Brazil,  
